127.0.0.1 - - [12/Apr/2022:09:45:37 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:42 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:42 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:42 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:44 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:45 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:46 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:46 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_cd0a0a_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:46 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_95_f6ecd5_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:49 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:51:46 -0300] "GET /Farmacia/faces/pages/produtos.xhtml;jsessionid=EE6A6E2235326DE175C82DD821A61A68 HTTP/1.1" 500 4617
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:15 -0300] "GET /Farmacia/faces/pages/produtos.xhtml;jsessionid=EE6A6E2235326DE175C82DD821A61A68 HTTP/1.1" 200 24886
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:15 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:15 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:15 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:19 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 24886
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:19 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:19 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:19 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:21 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:21 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:22 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:23 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:24 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:24 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:27 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28369
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:27 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:27 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:27 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:28 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:29 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:30 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:30 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:31 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:32 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:33 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 24896
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:33 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:33 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:33 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:35 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:36 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:37 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:39 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:40 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:57:41 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:50 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28369
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:50 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:50 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:50 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:53 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:54 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 14524
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:54 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 10118
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:55 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:56 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 14524
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:56 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:10:58 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:00 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:00 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6831
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:04 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 24891
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:04 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:04 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:04 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:06 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:40 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 10737
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:44 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 23465
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:44 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:44 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:44 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:46 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:11:53 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 12878
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:06 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:06 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:06 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:06 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:12 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:12 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:12 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:12 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:13 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 25097
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:13 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:13 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:13 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:34 -0300] "GET /Farmacia/ HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:34 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:34 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:34 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:47 -0300] "POST /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:49 -0300] "POST /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:51 -0300] "POST /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [12/Apr/2022:10:33:53 -0300] "POST /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:34 -0300] "POST /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:37 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 26504
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:37 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:37 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:37 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:38 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 25092
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:38 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:38 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:13:07:38 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
